Star Number,HIP,Vmag,dist (pc),Type, EEID (mas),EEID (AU),HZ inner edge (mas),HZ outer edge (mas),Snow line (mas),IWA (AU),L*/Lsun,Surface Brigthness Spectral Correction Factor,Exozodi Detection Limit at IWA (in zodi),Time to SNR (hours),Exozodi Level measured by LBTI at 11 microns,,,,,
50,46509,4.59,17.76,F6V,110,1.95,104,184,363,2.66,3.810,1.03,487.67,,,,,,,
51,24813,4.69,12.48,G0V,108,1.35,103,181,358,1.87,1.829,0.97,519.84,,-69 +/- 51,lam Aur,,,,
52,64924,4.74,8.51,G5V,108,0.92,103,181,357,1.28,0.846,0.93,542.50,,,,,,,
53,76829,4.64,17.39,F5IV-V,107,1.87,102,179,354,2.61,3.490,1.03,487.90,,,,,,,
54,23693,4.71,11.62,F7V,105,1.22,100,176,348,1.74,1.499,1.01,500.47,,,,,,,
55,16245,4.71,21.75,F5IV-V,104,2.26,99,174,343,3.26,5.114,1.03,487.53,,,,,,,
56,104214,5.2,3.50,K5V,103,0.36,98,172,340,0.52,0.130,0.67,752.13,,67 +/- 71,61 Cyg A,,,,
57,39903,4.74,19.98,F5V,103,2.05,97,171,339,3.00,4.200,1.03,487.91,,,,,,,
58,15457,4.84,9.15,G5Vvar,102,0.93,97,171,337,1.37,0.872,0.95,530.06,,,,,,,
59,64408,4.85,20.29,G3V,102,2.07,97,170,336,3.04,4.281,0.94,533.32,,,,,,,
60,86486,4.76,21.23,F3IV,102,2.16,97,170,335,3.18,4.658,1.03,488.08,,,,,,,
61,4151,4.8,18.80,F8V,101,1.91,96,169,335,2.82,3.633,1.00,503.63,,,,,,,
62,10644,4.84,11.01,G0V,101,1.11,96,168,333,1.65,1.230,0.98,516.22,,,,,,,
63,51459,4.82,12.91,F8V,100,1.30,95,168,332,1.94,1.683,1.00,503.85,,,,,,,
64,57443,4.89,9.29,G3/G5V,99,0.92,94,166,328,1.39,0.853,0.96,526.31,,,,,,,
65,65721,4.97,17.91,G5V,98,1.75,93,163,322,2.69,3.052,0.92,545.26,,,,,,,
66,86736,4.86,17.12,F6/F7V,97,1.67,92,162,321,2.57,2.776,1.03,490.21,,,,,,,
67,80686,4.9,12.18,F9V,97,1.18,92,162,320,1.83,1.398,0.99,506.64,,,,,,,
68,82860,4.88,15.08,F6Vvar,97,1.46,92,161,319,2.26,2.121,1.02,491.84,,,,,,,
69,910,4.89,17.99,F5V,96,1.73,91,161,317,2.70,2.995,1.02,492.77,,,,,,,
70,47592,4.93,14.82,G0V,95,1.41,91,159,315,2.22,1.998,1.00,502.35,,,,,,,
71,5862,4.97,15.18,F8V,94,1.43,90,157,311,2.28,2.046,0.99,509.04,,,,,,,
72,109422,4.94,18.35,F6V,94,1.73,89,157,310,2.75,2.979,1.02,493.08,,,,,,,
73,73996,4.93,19.35,F5V,94,1.82,89,157,310,2.90,3.312,1.03,488.41,,,,,,,
74,29271,5.08,10.21,G5V,93,0.95,88,155,306,1.53,0.897,0.92,545.26,,,,,,,
